Vendedor;Produto;Estado;Mês;Cliente;Valor;Quantidade;Total
Murilo;Rodas aro 22";SC;Março;Pessoa Jurídica;3921;10;39210
Roberto;Rodas aro 13";SP;Março;Pessoa Física;780;9;7020
Myslaine;Rodas aro 14";PE;Janeiro;Pessoa Jurídica;980;8;7840
Katia;Rodas aro 15";MG;Abril;Pessoa Física;1020;8;8160
Vanessa;Rodas aro 16";MG;Junho;Pessoa Física;1340;8;10720
Renata;Rodas aro 17";AP;Abril;Pessoa Física;1870;8;14960
Caio;Rodas aro 18";MT;Julho;Pessoa Jurídica;1910;7;13370
Priscila;Rodas aro 19";PI;Julho;Pessoa Jurídica;2240;4;8960
Mirian;Rodas aro 20";AM;Março;Pessoa Jurídica;2479;3;7437
Murilo;Rodas aro 21";SE;Dezembro;Pessoa Física;3200;3;9600
Roberto;Rodas aro 22";MA;Agosto;Pessoa Jurídica;3921;3;11763
Myslaine;Rodas aro 13";CE;Fevereiro;Pessoa Física;780;2;1560
Katia;Rodas aro 14";RR;Agosto;Pessoa Física;980;2;1960
Vanessa;Rodas aro 15";RN;Dezembro;Pessoa Física;1020;2;2040
Renata;Rodas aro 16";PI;Junho;Pessoa Jurídica;1340;2;2680
Caio;Rodas aro 17";SE;Abril;Pessoa Jurídica;1870;110;205700
Priscila;Rodas aro 18";MA;Julho;Pessoa Jurídica;1910;110;210100
Mirian;Rodas aro 19";MA;Março;Pessoa Física;2240;106;237440
Murilo;Rodas aro 20";MS;Dezembro;Pessoa Jurídica;2479;106;262774
Roberto;Rodas aro 21";RO;Maio;Pessoa Física;3200;103;329600
Myslaine;Rodas aro 22";RR;Novembro;Pessoa Física;3921;101;396021
Katia;Rodas aro 13";RS;Março;Pessoa Física;780;100;78000
Vanessa;Rodas aro 14";AP;Agosto;Pessoa Jurídica;980;96;94080
Renata;Rodas aro 15";ES;Maio;Pessoa Jurídica;1020;96;97920
Caio;Rodas aro 16";RS;Maio;Pessoa Jurídica;1340;95;127300
Priscila;Rodas aro 17";AC;Março;Pessoa Física;1870;94;175780
Mirian;Rodas aro 18";RJ;Abril;Pessoa Jurídica;1910;93;177630
Murilo;Rodas aro 19";MT;Dezembro;Pessoa Física;2240;93;208320
Roberto;Rodas aro 20";RN;Outubro;Pessoa Física;2479;92;228068
Myslaine;Rodas aro 21";RO;Julho;Pessoa Física;3200;90;288000
Katia;Rodas aro 22";MS;Julho;Pessoa Jurídica;3921;90;352890
Vanessa;Rodas aro 13";MS;Fevereiro;Pessoa Jurídica;780;84;65520
Renata;Rodas aro 14";RS;Novembro;Pessoa Jurídica;980;82;80360
Caio;Rodas aro 15";PR;Fevereiro;Pessoa Física;1020;82;83640
Priscila;Rodas aro 16";AP;Outubro;Pessoa Jurídica;1340;80;107200
Mirian;Rodas aro 17";SC;Janeiro;Pessoa Física;1870;80;149600
Murilo;Rodas aro 18";GO;Setembro;Pessoa Física;1910;80;152800
Roberto;Rodas aro 19";CE;Setembro;Pessoa Física;2240;78;174720
Myslaine;Rodas aro 20";PB;Fevereiro;Pessoa Jurídica;2479;77;190883
Katia;Rodas aro 21";RN;Junho;Pessoa Jurídica;3200;75;240000
Vanessa;Rodas aro 22";PE;Janeiro;Pessoa Jurídica;3921;71;278391
Renata;Rodas aro 13";DF;Dezembro;Pessoa Física;780;69;53820
Caio;Rodas aro 14";PE;Abril;Pessoa Jurídica;980;68;66640
Priscila;Rodas aro 15";PE;Agosto;Pessoa Física;1020;62;63240
Mirian;Rodas aro 16";AC;Julho;Pessoa Física;1340;62;83080
Murilo;Rodas aro 17";SE;Março;Pessoa Física;1870;58;108460
Roberto;Rodas aro 18";SC;Dezembro;Pessoa Jurídica;1910;57;108870
Myslaine;Rodas aro 19";ES;Julho;Pessoa Jurídica;2240;55;123200
Katia;Rodas aro 20";DF;Junho;Pessoa Jurídica;2479;53;131387
Vanessa;Rodas aro 21";PB;Abril;Pessoa Física;3200;52;166400
Renata;Rodas aro 22";PA;Agosto;Pessoa Jurídica;3921;48;188208
Caio;Rodas aro 13";MS;Maio;Pessoa Física;780;46;35880
Priscila;Rodas aro 14";AP;Setembro;Pessoa Física;980;46;45080
Mirian;Rodas aro 15";PA;Dezembro;Pessoa Física;1020;42;42840
Murilo;Rodas aro 16";MT;Junho;Pessoa Jurídica;1340;41;54940
Roberto;Rodas aro 17";PR;Fevereiro;Pessoa Jurídica;1870;39;72930
Myslaine;Rodas aro 18";RS;Abril;Pessoa Jurídica;1910;39;74490
Katia;Rodas aro 19";AM;Novembro;Pessoa Física;2240;39;87360
Vanessa;Rodas aro 20";RS;Junho;Pessoa Jurídica;2479;36;89244
Renata;Rodas aro 21";SP;Maio;Pessoa Física;3200;35;112000
Caio;Rodas aro 22";BA;Setembro;Pessoa Física;3921;35;137235
Priscila;Rodas aro 13";AL;Agosto;Pessoa Física;780;34;26520
Mirian;Rodas aro 14";BA;Dezembro;Pessoa Jurídica;980;32;31360
Murilo;Rodas aro 15";DF;Abril;Pessoa Jurídica;1020;30;30600
Roberto;Rodas aro 16";PI;Março;Pessoa Jurídica;1340;28;37520
Myslaine;Rodas aro 17";PE;Junho;Pessoa Física;1870;27;50490
Katia;Rodas aro 18";RJ;Dezembro;Pessoa Jurídica;1910;27;51570
Vanessa;Rodas aro 19";RO;Julho;Pessoa Física;2240;26;58240
Renata;Rodas aro 20";SP;Julho;Pessoa Física;2479;26;64454
Caio;Rodas aro 21";PR;Novembro;Pessoa Física;3200;23;73600
Priscila;Rodas aro 22";PI;Junho;Pessoa Jurídica;3921;22;86262
Mirian;Rodas aro 13";AP;Maio;Pessoa Jurídica;780;21;16380
Murilo;Rodas aro 14";PA;Fevereiro;Pessoa Jurídica;980;20;19600
Roberto;Rodas aro 15";ES;Setembro;Pessoa Física;1020;19;19380
Myslaine;Rodas aro 16";MT;Dezembro;Pessoa Jurídica;1340;17;22780
Katia;Rodas aro 17";SC;Fevereiro;Pessoa Física;1870;16;29920
Vanessa;Rodas aro 18";RO;Março;Pessoa Física;1910;13;24830
Renata;Rodas aro 19";ES;Abril;Pessoa Física;2240;13;29120
Caio;Rodas aro 20";GO;Novembro;Pessoa Jurídica;2479;10;24790
Priscila;Rodas aro 21";CE;Fevereiro;Pessoa Jurídica;3200;9;28800
Mirian;Rodas aro 22";RO;Abril;Pessoa Jurídica;3921;8;31368
Murilo;Rodas aro 13";PA;Janeiro;Pessoa Física;780;6;4680
Roberto;Rodas aro 14";ES;Março;Pessoa Jurídica;980;6;5880
Myslaine;Rodas aro 15";TO;Outubro;Pessoa Física;1020;6;6120
Katia;Rodas aro 16";BA;Julho;Pessoa Física;1340;6;8040
Vanessa;Rodas aro 17";SE;Junho;Pessoa Física;1870;1;1870
Renata;Rodas aro 18";PB;Agosto;Pessoa Jurídica;1910;109;208190
Caio;Rodas aro 19";AL;Fevereiro;Pessoa Jurídica;2240;108;241920
Priscila;Rodas aro 20";MA;Fevereiro;Pessoa Jurídica;2479;108;267732
Mirian;Rodas aro 21";MS;Outubro;Pessoa Física;3200;106;339200
Murilo;Rodas aro 22";RS;Março;Pessoa Jurídica;3921;100;392100
Roberto;Rodas aro 13";MT;Fevereiro;Pessoa Física;780;100;78000
Myslaine;Rodas aro 14";CE;Abril;Pessoa Física;980;99;97020
Katia;Rodas aro 15";RJ;Setembro;Pessoa Física;1020;98;99960
Vanessa;Rodas aro 16";SP;Agosto;Pessoa Jurídica;1340;98;131320
Renata;Rodas aro 17";GO;Julho;Pessoa Jurídica;1870;92;172040
Caio;Rodas aro 18";DF;Setembro;Pessoa Jurídica;1910;91;173810
Priscila;Rodas aro 19";TO;Fevereiro;Pessoa Física;2240;88;197120
Mirian;Rodas aro 20";GO;Março;Pessoa Jurídica;2479;87;215673
Murilo;Rodas aro 21";DF;Agosto;Pessoa Física;3200;86;275200
Roberto;Rodas aro 22";GO;Julho;Pessoa Física;3921;84;329364
Myslaine;Rodas aro 13";MS;Maio;Pessoa Física;780;83;64740
Katia;Rodas aro 14";TO;Março;Pessoa Jurídica;980;82;80360
Vanessa;Rodas aro 15";AL;Março;Pessoa Jurídica;1020;82;83640
Renata;Rodas aro 16";MG;Outubro;Pessoa Jurídica;1340;82;109880
Caio;Rodas aro 17";RO;Dezembro;Pessoa Física;1870;81;151470
Priscila;Rodas aro 18";AL;Outubro;Pessoa Jurídica;1910;81;154710
Mirian;Rodas aro 19";MG;Dezembro;Pessoa Física;2240;78;174720
Murilo;Rodas aro 20";MG;Abril;Pessoa Física;2479;78;193362
Roberto;Rodas aro 21";PR;Janeiro;Pessoa Física;3200;73;233600
Myslaine;Rodas aro 22";PA;Maio;Pessoa Jurídica;3921;73;286233
Katia;Rodas aro 13";RR;Julho;Pessoa Jurídica;780;73;56940
Vanessa;Rodas aro 14";GO;Maio;Pessoa Jurídica;980;72;70560
Renata;Rodas aro 15";MT;Abril;Pessoa Física;1020;67;68340
Caio;Rodas aro 16";GO;Maio;Pessoa Jurídica;1340;65;87100
Priscila;Rodas aro 17";SE;Fevereiro;Pessoa Física;1870;65;121550
Mirian;Rodas aro 18";ES;Novembro;Pessoa Física;1910;63;120330
Murilo;Rodas aro 19";RS;Abril;Pessoa Física;2240;62;138880
Roberto;Rodas aro 20";RS;Fevereiro;Pessoa Jurídica;2479;62;153698
Myslaine;Rodas aro 21";ES;Abril;Pessoa Jurídica;3200;60;192000
Katia;Rodas aro 22";RN;Abril;Pessoa Jurídica;3921;60;235260
Vanessa;Rodas aro 13";CE;Julho;Pessoa Física;780;59;46020
Renata;Rodas aro 14";MA;Dezembro;Pessoa Jurídica;980;58;56840
Caio;Rodas aro 15";PE;Abril;Pessoa Física;1020;58;59160
Priscila;Rodas aro 16";PI;Dezembro;Pessoa Física;1340;57;76380
Mirian;Rodas aro 17";PR;Dezembro;Pessoa Física;1870;56;104720
Murilo;Rodas aro 18";PI;Setembro;Pessoa Jurídica;1910;55;105050
Roberto;Rodas aro 19";AC;Agosto;Pessoa Jurídica;2240;55;123200
Myslaine;Rodas aro 20";PA;Setembro;Pessoa Jurídica;2479;52;128908
Katia;Rodas aro 21";AP;Dezembro;Pessoa Física;3200;52;166400
Vanessa;Rodas aro 22";MA;Agosto;Pessoa Jurídica;3921;51;199971
Renata;Rodas aro 13";CE;Junho;Pessoa Física;780;50;39000
Caio;Rodas aro 14";DF;Novembro;Pessoa Física;980;48;47040
Priscila;Rodas aro 15";RO;Julho;Pessoa Física;1020;47;47940
Mirian;Rodas aro 16";AC;Julho;Pessoa Jurídica;1340;47;62980
Murilo;Rodas aro 17";PI;Setembro;Pessoa Jurídica;1870;46;86020
Roberto;Rodas aro 18";GO;Junho;Pessoa Jurídica;1910;44;84040
Myslaine;Rodas aro 19";PE;Junho;Pessoa Física;2240;43;96320
Katia;Rodas aro 20";AL;Abril;Pessoa Jurídica;2479;43;106597
Vanessa;Rodas aro 21";SP;Novembro;Pessoa Física;3200;41;131200
Renata;Rodas aro 22";TO;Janeiro;Pessoa Física;3921;40;156840
Caio;Rodas aro 13";RJ;Janeiro;Pessoa Física;780;40;31200
Priscila;Rodas aro 14";MT;Março;Pessoa Jurídica;980;39;38220
Mirian;Rodas aro 15";AM;Abril;Pessoa Jurídica;1020;37;37740
Murilo;Rodas aro 16";RS;Julho;Pessoa Jurídica;1340;33;44220
Roberto;Rodas aro 17";SC;Novembro;Pessoa Física;1870;33;61710
Myslaine;Rodas aro 18";PE;Setembro;Pessoa Jurídica;1910;31;59210
Katia;Rodas aro 19";SE;Março;Pessoa Física;2240;30;67200
Vanessa;Rodas aro 20";SC;Agosto;Pessoa Física;2479;29;71891
Renata;Rodas aro 21";SC;Janeiro;Pessoa Física;3200;29;92800
Caio;Rodas aro 22";SC;Novembro;Pessoa Jurídica;3921;28;109788
Priscila;Rodas aro 13";MA;Maio;Pessoa Jurídica;780;27;21060
Mirian;Rodas aro 14";PA;Outubro;Pessoa Jurídica;980;25;24500
Murilo;Rodas aro 15";AM;Outubro;Pessoa Física;1020;24;24480
Roberto;Rodas aro 16";AL;Setembro;Pessoa Jurídica;1340;24;32160
Myslaine;Rodas aro 17";RR;Abril;Pessoa Física;1870;24;44880
Katia;Rodas aro 18";SP;Abril;Pessoa Física;1910;22;42020
Vanessa;Rodas aro 19";TO;Março;Pessoa Física;2240;22;49280
Renata;Rodas aro 20";PR;Julho;Pessoa Jurídica;2479;22;54538
Caio;Rodas aro 21";RO;Agosto;Pessoa Jurídica;3200;21;67200
Priscila;Rodas aro 22";RN;Setembro;Pessoa Jurídica;3921;19;74499
Mirian;Rodas aro 13";PI;Novembro;Pessoa Física;780;19;14820
Murilo;Rodas aro 14";GO;Julho;Pessoa Jurídica;980;18;17640
Roberto;Rodas aro 15";TO;Março;Pessoa Física;1020;17;17340
Myslaine;Rodas aro 16";RN;Setembro;Pessoa Física;1340;16;21440
Katia;Rodas aro 17";SP;Junho;Pessoa Física;1870;14;26180
Vanessa;Rodas aro 18";ES;Julho;Pessoa Jurídica;1910;13;24830
Renata;Rodas aro 19";MG;Julho;Pessoa Jurídica;2240;13;29120
Caio;Rodas aro 20";PI;Abril;Pessoa Jurídica;2479;11;27269
Priscila;Rodas aro 21";AC;Dezembro;Pessoa Física;3200;10;32000
Mirian;Rodas aro 22";PR;Janeiro;Pessoa Jurídica;3921;9;35289
Murilo;Rodas aro 13";MS;Novembro;Pessoa Física;780;8;6240
Roberto;Rodas aro 14";MT;Abril;Pessoa Física;980;7;6860
Myslaine;Rodas aro 15";ES;Janeiro;Pessoa Física;1020;5;5100
Katia;Rodas aro 16";SP;Junho;Pessoa Jurídica;1340;4;5360
Vanessa;Rodas aro 17";AM;Dezembro;Pessoa Jurídica;1870;3;5610
Renata;Rodas aro 18";PB;Agosto;Pessoa Jurídica;1910;3;5730
Caio;Rodas aro 19";SP;Fevereiro;Pessoa Física;2240;1;2240
Priscila;Rodas aro 20";AM;Outubro;Pessoa Jurídica;2479;110;272690
Mirian;Rodas aro 21";PR;Maio;Pessoa Física;3200;110;352000
Murilo;Rodas aro 22";ES;Janeiro;Pessoa Física;3921;109;427389
Roberto;Rodas aro 13";AC;Julho;Pessoa Física;780;108;84240
Myslaine;Rodas aro 14";PA;Junho;Pessoa Jurídica;980;105;102900
Katia;Rodas aro 15";AP;Dezembro;Pessoa Jurídica;1020;104;106080
Vanessa;Rodas aro 16";AP;Dezembro;Pessoa Jurídica;1340;104;139360
Renata;Rodas aro 17";CE;Maio;Pessoa Física;1870;103;192610
Caio;Rodas aro 18";SC;Maio;Pessoa Jurídica;1910;102;194820
Priscila;Rodas aro 19";PB;Dezembro;Pessoa Física;2240;101;226240
Mirian;Rodas aro 20";MS;Julho;Pessoa Física;2479;100;247900
Murilo;Rodas aro 21";CE;Janeiro;Pessoa Física;3200;96;307200
Roberto;Rodas aro 22";MT;Abril;Pessoa Jurídica;3921;95;372495
Myslaine;Rodas aro 13";DF;Fevereiro;Pessoa Jurídica;780;95;74100
Katia;Rodas aro 14";RJ;Fevereiro;Pessoa Jurídica;980;94;92120
Vanessa;Rodas aro 15";PA;Setembro;Pessoa Física;1020;94;95880
Renata;Rodas aro 16";AL;Janeiro;Pessoa Jurídica;1340;94;125960
Caio;Rodas aro 17";ES;Dezembro;Pessoa Física;1870;93;173910
Priscila;Rodas aro 18";MS;Novembro;Pessoa Física;1910;93;177630
Mirian;Rodas aro 19";PI;Novembro;Pessoa Física;2240;93;208320
Murilo;Rodas aro 20";AM;Fevereiro;Pessoa Jurídica;2479;91;225589
Roberto;Rodas aro 21";ES;Novembro;Pessoa Jurídica;3200;91;291200
Myslaine;Rodas aro 22";MT;Junho;Pessoa Jurídica;3921;88;345048
Katia;Rodas aro 13";RS;Junho;Pessoa Física;780;88;68640
Vanessa;Rodas aro 14";SC;Abril;Pessoa Jurídica;980;88;86240
Renata;Rodas aro 15";RS;Setembro;Pessoa Física;1020;87;88740
Caio;Rodas aro 16";RJ;Dezembro;Pessoa Física;1340;85;113900
Priscila;Rodas aro 17";AP;Março;Pessoa Física;1870;84;157080
Mirian;Rodas aro 18";MG;Junho;Pessoa Jurídica;1910;84;160440
Murilo;Rodas aro 19";TO;Fevereiro;Pessoa Jurídica;2240;84;188160
Roberto;Rodas aro 20";SC;Dezembro;Pessoa Jurídica;2479;82;203278
Myslaine;Rodas aro 21";PA;Julho;Pessoa Física;3200;81;259200
Katia;Rodas aro 22";RO;Novembro;Pessoa Jurídica;3921;78;305838
Vanessa;Rodas aro 13";PA;Março;Pessoa Física;780;76;59280
Renata;Rodas aro 14";TO;Março;Pessoa Física;980;75;73500
Caio;Rodas aro 15";MT;Janeiro;Pessoa Física;1020;75;76500
Priscila;Rodas aro 16";PE;Janeiro;Pessoa Jurídica;1340;73;97820
Mirian;Rodas aro 17";PI;Outubro;Pessoa Jurídica;1870;71;132770
Murilo;Rodas aro 18";RS;Abril;Pessoa Jurídica;1910;69;131790
Roberto;Rodas aro 19";DF;Novembro;Pessoa Física;2240;69;154560
Myslaine;Rodas aro 20";MA;Agosto;Pessoa Jurídica;2479;69;171051
Katia;Rodas aro 21";RS;Maio;Pessoa Física;3200;63;201600
Vanessa;Rodas aro 22";TO;Maio;Pessoa Física;3921;61;239181
Renata;Rodas aro 13";AP;Dezembro;Pessoa Física;780;60;46800
Caio;Rodas aro 14";AP;Março;Pessoa Jurídica;980;56;54880
Priscila;Rodas aro 15";PE;Outubro;Pessoa Jurídica;1020;54;55080
Mirian;Rodas aro 16";PA;Junho;Pessoa Jurídica;1340;51;68340
Murilo;Rodas aro 17";SE;Setembro;Pessoa Física;1870;51;95370
Roberto;Rodas aro 18";PR;Junho;Pessoa Jurídica;1910;46;87860
Myslaine;Rodas aro 19";PE;Fevereiro;Pessoa Física;2240;45;100800
Katia;Rodas aro 20";PI;Outubro;Pessoa Física;2479;42;104118
Vanessa;Rodas aro 21";BA;Agosto;Pessoa Física;3200;39;124800
Renata;Rodas aro 22";PE;Agosto;Pessoa Jurídica;3921;37;145077
Caio;Rodas aro 13";MT;Dezembro;Pessoa Jurídica;780;30;23400
Priscila;Rodas aro 14";RJ;Maio;Pessoa Jurídica;980;30;29400
Mirian;Rodas aro 15";BA;Julho;Pessoa Física;1020;29;29580
Murilo;Rodas aro 16";MT;Maio;Pessoa Jurídica;1340;29;38860
Roberto;Rodas aro 17";AC;Outubro;Pessoa Física;1870;27;50490
Myslaine;Rodas aro 18";PA;Julho;Pessoa Física;1910;27;51570
Katia;Rodas aro 19";RN;Novembro;Pessoa Física;2240;26;58240
Vanessa;Rodas aro 20";MT;Outubro;Pessoa Jurídica;2479;24;59496
Renata;Rodas aro 21";RR;Outubro;Pessoa Jurídica;3200;20;64000
Caio;Rodas aro 22";DF;Julho;Pessoa Jurídica;3921;18;70578
Priscila;Rodas aro 13";PI;Outubro;Pessoa Física;780;18;14040
Mirian;Rodas aro 14";ES;Dezembro;Pessoa Jurídica;980;16;15680
Murilo;Rodas aro 15";AL;Abril;Pessoa Física;1020;16;16320
Roberto;Rodas aro 16";RN;Junho;Pessoa Física;1340;15;20100
Myslaine;Rodas aro 17";CE;Junho;Pessoa Física;1870;13;24310
Katia;Rodas aro 18";SP;Maio;Pessoa Jurídica;1910;13;24830
Vanessa;Rodas aro 19";AL;Junho;Pessoa Jurídica;2240;13;29120
Renata;Rodas aro 20";SE;Dezembro;Pessoa Jurídica;2479;10;24790
Caio;Rodas aro 21";ES;Setembro;Pessoa Física;3200;7;22400
Priscila;Rodas aro 22";AC;Abril;Pessoa Jurídica;3921;7;27447
Mirian;Rodas aro 13";PB;Outubro;Pessoa Física;780;7;5460
Murilo;Rodas aro 14";SP;Abril;Pessoa Física;980;6;5880
Roberto;Rodas aro 15";GO;Agosto;Pessoa Física;1020;6;6120
Myslaine;Rodas aro 16";RO;Setembro;Pessoa Jurídica;1340;5;6700
Katia;Rodas aro 17";BA;Agosto;Pessoa Jurídica;1870;5;9350
Vanessa;Rodas aro 18";RO;Junho;Pessoa Jurídica;1910;5;9550
Renata;Rodas aro 19";AP;Julho;Pessoa Física;2240;3;6720
Caio;Rodas aro 20";AP;Abril;Pessoa Jurídica;2479;2;4958
Priscila;Rodas aro 21";RO;Setembro;Pessoa Física;3200;110;352000
Mirian;Rodas aro 22";CE;Janeiro;Pessoa Física;3921;108;423468
Murilo;Rodas aro 13";GO;Outubro;Pessoa Física;780;107;83460
Roberto;Rodas aro 14";BA;Dezembro;Pessoa Jurídica;980;106;103880
Myslaine;Rodas aro 15";AL;Julho;Pessoa Jurídica;1020;105;107100
Katia;Rodas aro 16";ES;Setembro;Pessoa Jurídica;1340;102;136680
Vanessa;Rodas aro 17";SP;Dezembro;Pessoa Física;1870;98;183260
Renata;Rodas aro 18";AM;Setembro;Pessoa Jurídica;1910;96;183360
Caio;Rodas aro 19";CE;Maio;Pessoa Física;2240;96;215040
Priscila;Rodas aro 20";PA;Outubro;Pessoa Física;2479;96;237984
Mirian;Rodas aro 21";RN;Dezembro;Pessoa Física;3200;96;307200
Murilo;Rodas aro 22";AM;Agosto;Pessoa Jurídica;3921;93;364653
Roberto;Rodas aro 13";SC;Janeiro;Pessoa Jurídica;780;92;71760
Myslaine;Rodas aro 14";RN;Outubro;Pessoa Jurídica;980;91;89180
Katia;Rodas aro 15";PB;Dezembro;Pessoa Física;1020;89;90780
Vanessa;Rodas aro 16";PI;Outubro;Pessoa Jurídica;1340;86;115240
Renata;Rodas aro 17";AM;Outubro;Pessoa Física;1870;86;160820
Caio;Rodas aro 18";AP;Dezembro;Pessoa Física;1910;81;154710
Priscila;Rodas aro 19";TO;Novembro;Pessoa Física;2240;81;181440
Mirian;Rodas aro 20";SC;Abril;Pessoa Jurídica;2479;79;195841
Murilo;Rodas aro 21";PR;Maio;Pessoa Jurídica;3200;77;246400
Roberto;Rodas aro 22";SC;Outubro;Pessoa Jurídica;3921;76;297996
Myslaine;Rodas aro 13";DF;Agosto;Pessoa Física;780;73;56940
Katia;Rodas aro 14";MT;Agosto;Pessoa Jurídica;980;72;70560
Vanessa;Rodas aro 15";ES;Dezembro;Pessoa Física;1020;72;73440
Renata;Rodas aro 16";RJ;Janeiro;Pessoa Física;1340;71;95140
Caio;Rodas aro 17";RN;Maio;Pessoa Física;1870;71;132770
Priscila;Rodas aro 18";MS;Janeiro;Pessoa Jurídica;1910;70;133700
Mirian;Rodas aro 19";MA;Janeiro;Pessoa Jurídica;2240;68;152320
Murilo;Rodas aro 20";RJ;Novembro;Pessoa Jurídica;2479;68;168572
Roberto;Rodas aro 21";AP;Fevereiro;Pessoa Física;3200;66;211200
Myslaine;Rodas aro 22";PI;Março;Pessoa Jurídica;3921;65;254865
Katia;Rodas aro 13";SC;Julho;Pessoa Física;780;65;50700
Vanessa;Rodas aro 14";BA;Março;Pessoa Física;980;64;62720
Renata;Rodas aro 15";RR;Janeiro;Pessoa Física;1020;62;63240
Caio;Rodas aro 16";PE;Maio;Pessoa Jurídica;1340;57;76380
Priscila;Rodas aro 17";RS;Dezembro;Pessoa Jurídica;1870;57;106590
Mirian;Rodas aro 18";AL;Março;Pessoa Jurídica;1910;56;106960
Murilo;Rodas aro 19";MG;Março;Pessoa Física;2240;54;120960
Roberto;Rodas aro 20";CE;Abril;Pessoa Jurídica;2479;53;131387
Myslaine;Rodas aro 21";RN;Maio;Pessoa Física;3200;53;169600
Katia;Rodas aro 22";GO;Março;Pessoa Física;3921;52;203892
Vanessa;Rodas aro 13";CE;Fevereiro;Pessoa Física;780;50;39000
Renata;Rodas aro 14";DF;Junho;Pessoa Jurídica;980;49;48020
Caio;Rodas aro 15";AP;Janeiro;Pessoa Jurídica;1020;47;47940
Priscila;Rodas aro 16";MS;Dezembro;Pessoa Jurídica;1340;47;62980
Mirian;Rodas aro 17";MT;Dezembro;Pessoa Física;1870;46;86020
Murilo;Rodas aro 18";AP;Janeiro;Pessoa Jurídica;1910;46;87860
Roberto;Rodas aro 19";PR;Agosto;Pessoa Física;2240;45;100800
Myslaine;Rodas aro 20";PE;Maio;Pessoa Física;2479;44;109076
Katia;Rodas aro 21";RO;Maio;Pessoa Física;3200;44;140800
Vanessa;Rodas aro 22";MT;Setembro;Pessoa Jurídica;3921;42;164682
Renata;Rodas aro 13";PI;Abril;Pessoa Jurídica;780;40;31200
Caio;Rodas aro 14";PE;Dezembro;Pessoa Jurídica;980;39;38220
Priscila;Rodas aro 15";PE;Janeiro;Pessoa Física;1020;39;39780
Mirian;Rodas aro 16";PB;Julho;Pessoa Jurídica;1340;39;52260
Murilo;Rodas aro 17";SC;Dezembro;Pessoa Física;1870;38;71060
Roberto;Rodas aro 18";RS;Junho;Pessoa Física;1910;38;72580
Myslaine;Rodas aro 19";MA;Dezembro;Pessoa Física;2240;38;85120
Katia;Rodas aro 20";PA;Outubro;Pessoa Jurídica;2479;35;86765
Vanessa;Rodas aro 21";RN;Maio;Pessoa Jurídica;3200;35;112000
Renata;Rodas aro 22";TO;Maio;Pessoa Jurídica;3921;30;117630
Caio;Rodas aro 13";PI;Fevereiro;Pessoa Física;780;30;23400
Priscila;Rodas aro 14";RJ;Agosto;Pessoa Jurídica;980;29;28420
Mirian;Rodas aro 15";PE;Agosto;Pessoa Física;1020;28;28560
Murilo;Rodas aro 16";PI;Julho;Pessoa Física;1340;28;37520
Roberto;Rodas aro 17";DF;Março;Pessoa Física;1870;26;48620
Myslaine;Rodas aro 18";BA;Setembro;Pessoa Jurídica;1910;25;47750
Katia;Rodas aro 19";PI;Abril;Pessoa Jurídica;2240;24;53760
Vanessa;Rodas aro 20";SE;Setembro;Pessoa Jurídica;2479;24;59496
Renata;Rodas aro 21";PE;Maio;Pessoa Física;3200;23;73600
Caio;Rodas aro 22";SC;Abril;Pessoa Jurídica;3921;22;86262
Priscila;Rodas aro 13";PE;Julho;Pessoa Física;780;22;17160
Mirian;Rodas aro 14";PA;Dezembro;Pessoa Física;980;21;20580
Murilo;Rodas aro 15";SE;Agosto;Pessoa Física;1020;21;21420
Roberto;Rodas aro 16";MT;Janeiro;Pessoa Jurídica;1340;21;28140
Myslaine;Rodas aro 17";TO;Fevereiro;Pessoa Jurídica;1870;19;35530
Katia;Rodas aro 18";RJ;Dezembro;Pessoa Jurídica;1910;19;36290
Vanessa;Rodas aro 19";CE;Fevereiro;Pessoa Física;2240;19;42560
Renata;Rodas aro 20";AL;Janeiro;Pessoa Jurídica;2479;19;47101
Caio;Rodas aro 21";PR;Dezembro;Pessoa Física;3200;17;54400
Priscila;Rodas aro 22";AM;Março;Pessoa Física;3921;17;66657
Mirian;Rodas aro 13";PR;Fevereiro;Pessoa Física;780;16;12480
Murilo;Rodas aro 14";BA;Setembro;Pessoa Jurídica;980;16;15680
Roberto;Rodas aro 15";SC;Fevereiro;Pessoa Jurídica;1020;14;14280
Myslaine;Rodas aro 16";AL;Outubro;Pessoa Jurídica;1340;14;18760
Katia;Rodas aro 17";RO;Outubro;Pessoa Física;1870;13;24310
Vanessa;Rodas aro 18";AM;Novembro;Pessoa Jurídica;1910;12;22920
Renata;Rodas aro 19";RR;Junho;Pessoa Física;2240;9;20160
Caio;Rodas aro 20";PI;Outubro;Pessoa Física;2479;7;17353
Priscila;Rodas aro 21";RJ;Julho;Pessoa Física;3200;7;22400
Mirian;Rodas aro 22";MG;Julho;Pessoa Jurídica;3921;7;27447
Murilo;Rodas aro 13";CE;Dezembro;Pessoa Jurídica;780;6;4680
Roberto;Rodas aro 14";RS;Novembro;Pessoa Jurídica;980;5;4900
Myslaine;Rodas aro 15";SE;Agosto;Pessoa Física;1020;5;5100
Katia;Rodas aro 16";PA;Novembro;Pessoa Jurídica;1340;3;4020
Vanessa;Rodas aro 17";BA;Abril;Pessoa Física;1870;2;3740
Renata;Rodas aro 18";PR;Setembro;Pessoa Física;1910;1;1910
